Class 1,Class 2,Fisher Score
G,U,4.9443912024042484e-05
G,V,0.00015630232537134075
G,W,0.0001448990472336304
G,X,0.00023080425591875175
G,Y,0.00023351460008507442
G,Z,0.00017809990243242924
H,I,0.0003868976891998964
H,J,0.00026085382351707996
H,K,0.00011643614908725482
H,L,0.00031386464557218205
H,M,6.78258074622084e-05
H,N,5.232206372698491e-05
H,O,0.00011963558407507067
H,P,0.00016664956351940738
H,Q,0.00011582874355021461
H,R,7.503927203806819e-05
H,S,0.0001458648992537959
H,T,0.00035567613038053056
H,U,6.919598814221782e-05
H,V,0.00016801352796937395
H,W,0.00010625744786388966
H,X,0.00019706007189890395
H,Y,0.00022721167277886328
H,Z,0.00023475862367973053
I,J,3.245000649439694e-05
I,K,0.00026318046926758254
I,L,9.446612090789318e-05
I,M,0.000314325361476363
I,N,0.00030653907414286485
I,O,0.0003345501700126657
I,P,0.00026920185170590887
I,Q,0.00021989126309540822
I,R,0.0002902276107000749
I,S,0.000193426061871757
I,T,6.701565593097563e-05
I,U,0.00032177873571189873
I,V,0.00024072551963236858
I,W,0.00023387096484320016
I,X,0.00020519687848691393
I,Y,0.00015838338114544198
I,Z,0.0001435638873221064
J,K,0.00019236473569611258
J,L,0.00013139301663310174
J,M,0.00023572956224890028
J,N,0.0002436598940549352
J,O,0.00021479721894685503
J,P,0.00020283985849896762
J,Q,0.00012916793988687947
J,R,0.00019851807685559097
J,S,0.00014935928164564613
J,T,8.993147188177952e-05
J,U,0.00020178807286215134
J,V,0.0001786316177751173
J,W,0.00016373944551145725
J,X,0.00015541495684237366
J,Y,0.0001390936643134537
J,Z,0.00012154046082466341
K,L,0.00018065977795401954
K,M,0.00016031882440417874
K,N,9.981884474495012e-05
K,O,0.00021719809072093743
K,P,0.00015578685081443018
K,Q,0.00015315678818563514
K,R,6.723467887944154e-05
K,S,0.000111174400337215
K,T,0.00025382487412179474
K,U,0.00014228055791051705
K,V,0.0001533072425278806
K,W,0.0001345049939017925
K,X,4.814393205000149e-05
K,Y,0.00017640383923889197
K,Z,0.00013108238832552818
L,M,0.00026424616975884987
L,N,0.00025279386860983734
L,O,0.000278044868114712
L,P,0.00021787274639104503
L,Q,0.00018855404339027508
L,R,0.00023162059275096337
L,S,0.00019596741450896455
L,T,0.00015829746750473697
L,U,0.00023307536711496634
L,V,0.0001949669360637867
L,W,0.00020227763698113494
L,X,0.00017246628132822458
L,Y,0.00018436384622952897
L,Z,0.00020106510197479463
M,N,8.245258101325196e-05
M,O,0.00013881590868600142
M,P,0.0001567928758790801
M,Q,0.00011783721121843545
M,R,0.00012963494843807005
M,S,0.00020332813588940586
M,T,0.00023366758393519833
M,U,0.00010290089807944852
M,V,0.00011372645110957063
M,W,0.00011552802905605134
M,X,0.00019330682136833472
M,Y,0.00012875277231784194
M,Z,0.00025902672870097894
N,O,0.00015297306860815137
N,P,0.00017520088332130445
N,Q,0.0001348650019717357
N,R,8.662949959412383e-05
N,S,0.00013475998192054016
N,T,0.0002607547838351461
N,U,0.00010522390905221777
N,V,0.00018669530923891926
N,W,0.00010207260420026452
N,X,0.00011426158115591934
N,Y,0.00019997884517969022
N,Z,0.00025016571122970995
O,P,0.00018069058990993447
O,Q,6.411724088135705e-05
O,R,0.00012819064843503657
O,S,0.00013931036343137928
O,T,0.0003342629262110246
O,U,4.856899542682591e-05
O,V,0.00018761245877446553
O,W,0.00016255789259898832
O,X,0.00032500198820440866
O,Y,0.0002758503613487345
O,Z,0.00022783650729051605
P,Q,0.00012278210604301973
P,R,9.716937136603018e-05
P,S,0.0002081949290757243
P,T,0.0002119154814392747
P,U,0.00014029383077244112
P,V,0.00012063536596568514
P,W,0.0001573691186464739
P,X,0.0002111501402554437
P,Y,0.0001607316825779189
P,Z,0.00026125665880984166
Q,R,7.667061096555514e-05
Q,S,0.00012660947514605186
Q,T,0.000227278672704267
Q,U,6.250199852977556e-05
Q,V,9.029493290776172e-05
Q,W,0.00012450932638828803
Q,X,0.00022786434440428955
Q,Y,0.00015847020473697782
Q,Z,0.0002000390677122876
R,S,0.00010980187697765432
R,T,0.0002895749124319828
R,U,0.00010564017139446055
R,V,0.00013092825589359884
R,W,0.0001450914811719679
R,X,0.00012497771415534927
R,Y,0.000179173408758111
R,Z,0.000173877557755267
S,T,0.00023891377880532068
S,U,0.00013249259535241223
S,V,0.00015565929328146248
S,W,0.0001820151213913575
S,X,0.00013541810432580786
